voyage_id,imo_number,vessel_name,vessel_type,cp_date,laycan_start,laycan_end,actual_load_date,actual_discharge_date,load_port,load_country,load_region,discharge_port,discharge_country,discharge_region,cargo_grade,cargo_qty_mt,charterer,sts_transfer,ballast_origin,laden_days,ballast_days
VYG1117,9534567,Nord Meridian,Suezmax,2022-10-12,2022-10-19,2022-10-23,2022-10-19,2022-11-17,Sullom Voe,UK,NS,Augusta,Italy,MED,Brent Blend,143953,TotalEnergies Trading,N,Rotterdam,29,10
VYG1118,9534567,Nord Meridian,Suezmax,2022-11-25,2022-11-27,2022-12-01,2022-11-29,2022-12-24,Basrah,Iraq,AG,Qingdao,China,FEA,Arab Light,139209,Glencore Energy,N,Houston,25,7
VYG1119,9534567,Nord Meridian,Suezmax,2023-01-01,2023-01-04,2023-01-08,2023-01-06,2023-01-26,Escravos,Nigeria,WAF,Antwerp,Belgium,NWE,Forcados,141661,Shell Trading,N,Antwerp,20,7
VYG1120,9534567,Nord Meridian,Suezmax,2023-02-04,2023-02-11,2023-02-15,2023-02-13,2023-03-14,Escravos,Nigeria,WAF,Qingdao,China,FEA,Bonny Light,154687,Equinor Trading,N,Singapore,29,8
VYG1121,9534567,Nord Meridian,Suezmax,2023-03-21,2023-03-23,2023-03-27,2023-03-24,2023-04-11,Basrah,Iraq,AG,Augusta,Italy,MED,Basrah Light,140304,Glencore Energy,N,Houston,18,10
VYG1122,9534567,Nord Meridian,Suezmax,2023-04-19,2023-04-21,2023-04-25,2023-04-22,2023-05-11,Mongstad,Norway,NS,Qingdao,China,FEA,Brent Blend,141898,Freepoint Commodities,N,Antwerp,19,7
VYG1123,9534567,Nord Meridian,Suezmax,2023-05-16,2023-05-23,2023-05-27,2023-05-25,2023-06-04,Sullom Voe,UK,NS,Antwerp,Belgium,NWE,Brent Blend,143654,Equinor Trading,N,Ulsan,10,5
VYG1124,9534567,Nord Meridian,Suezmax,2023-06-10,2023-06-17,2023-06-21,2023-06-18,2023-07-12,Basrah,Iraq,AG,Antwerp,Belgium,NWE,Basrah Light,142889,Glencore Energy,N,Antwerp,24,7
VYG1125,9534567,Nord Meridian,Suezmax,2023-07-21,2023-07-28,2023-08-01,2023-07-30,2023-08-21,Sullom Voe,UK,NS,Ulsan,South Korea,FEA,Brent Blend,149629,Trafigura,N,Houston,22,10
VYG1126,9534567,Nord Meridian,Suezmax,2023-08-29,2023-09-03,2023-09-07,2023-09-03,2023-09-27,Bonny,Nigeria,WAF,Ulsan,South Korea,FEA,Forcados,144387,Vitol Group,N,Ulsan,24,6
VYG1127,9534567,Nord Meridian,Suezmax,2023-10-06,2023-10-13,2023-10-17,2023-10-13,2023-11-01,Djeno,Congo,WAF,Fos-sur-Mer,France,MED,Bonny Light,152501,TotalEnergies Trading,N,Singapore,19,6
VYG1128,9534567,Nord Meridian,Suezmax,2023-11-08,2023-11-12,2023-11-16,2023-11-14,2023-11-30,Escravos,Nigeria,WAF,Augusta,Italy,MED,Bonny Light,144421,Litasco,N,Singapore,16,8
VYG1129,9534567,Nord Meridian,Suezmax,2023-12-07,2023-12-11,2023-12-15,2023-12-13,2024-01-02,Bonny,Nigeria,WAF,Augusta,Italy,MED,Forcados,145337,Gunvor Group,N,Antwerp,20,11
VYG1130,9534567,Nord Meridian,Suezmax,2024-01-11,2024-01-16,2024-01-20,2024-01-17,2024-02-03,Sullom Voe,UK,NS,Augusta,Italy,MED,Brent Blend,142067,Vitol Group,N,Houston,17,5
VYG1131,9534567,Nord Meridian,Suezmax,2024-02-08,2024-02-10,2024-02-14,2024-02-11,2024-03-10,Sullom Voe,UK,NS,Qingdao,China,FEA,Brent Blend,143899,Freepoint Commodities,N,Antwerp,28,5
VYG1132,9534567,Nord Meridian,Suezmax,2024-03-17,2024-03-22,2024-03-26,2024-03-22,2024-04-09,Sullom Voe,UK,NS,Augusta,Italy,MED,Brent Blend,149053,Gunvor Group,N,Ulsan,18,6
VYG1133,9534567,Nord Meridian,Suezmax,2024-04-17,2024-04-24,2024-04-28,2024-04-26,2024-05-18,Basrah,Iraq,AG,Augusta,Italy,MED,Iranian Heavy,151070,Saudi Aramco Trading,N,Antwerp,22,9
VYG1134,9534567,Nord Meridian,Suezmax,2024-05-27,2024-06-01,2024-06-05,2024-06-03,2024-06-18,Basrah,Iraq,AG,Trieste,Italy,MED,Arab Heavy,152735,Equinor Trading,N,Singapore,15,11
VYG1135,9534567,Nord Meridian,Suezmax,2024-06-22,2024-06-24,2024-06-28,2024-06-25,2024-07-19,Djeno,Congo,WAF,Augusta,Italy,MED,Forcados,147779,Shell Trading,N,Houston,24,11
VYG1136,9534567,Nord Meridian,Suezmax,2024-07-26,2024-07-30,2024-08-03,2024-08-01,2024-08-13,Djeno,Congo,WAF,Ulsan,South Korea,FEA,Forcados,150633,Litasco,N,Singapore,12,11
VYG1137,9534567,Nord Meridian,Suezmax,2024-08-22,2024-08-28,2024-09-01,2024-08-29,2024-09-14,Basrah,Iraq,AG,Augusta,Italy,MED,Arab Heavy,139686,Chevron Products,N,Antwerp,16,8
VYG1138,9534567,Nord Meridian,Suezmax,2024-09-22,2024-09-29,2024-10-03,2024-09-30,2024-10-27,Bonny,Nigeria,WAF,Augusta,Italy,MED,Bonny Light,154491,BP Oil International,N,Houston,27,11
VYG1139,9534567,Nord Meridian,Suezmax,2024-11-01,2024-11-05,2024-11-09,2024-11-05,2024-11-30,Escravos,Nigeria,WAF,Qingdao,China,FEA,Forcados,147816,TotalEnergies Trading,N,Rotterdam,25,8
VYG1140,9534567,Nord Meridian,Suezmax,2024-12-08,2024-12-11,2024-12-15,2024-12-13,2024-12-31,Djeno,Congo,WAF,,,,Forcados,144928,Vitol Group,Y,Houston,18,10
VYG1141,9545678,Nord Horizon,Suezmax,2022-01-01,2022-01-03,2022-01-07,2022-01-04,2022-01-16,Djeno,Congo,WAF,Fos-sur-Mer,France,MED,Forcados,149358,Trafigura,N,Houston,12,9
VYG1142,9545678,Nord Horizon,Suezmax,2022-01-24,2022-01-26,2022-01-30,2022-01-28,2022-02-21,Djeno,Congo,WAF,Qingdao,China,FEA,Bonny Light,138928,Equinor Trading,N,Rotterdam,24,9
VYG1143,9545678,Nord Horizon,Suezmax,2022-03-02,2022-03-05,2022-03-09,2022-03-05,2022-03-27,Ras Tanura,Saudi Arabia,AG,Trieste,Italy,MED,Arab Light,138230,Gunvor Group,N,Singapore,22,11
VYG1144,9545678,Nord Horizon,Suezmax,2022-04-03,2022-04-06,2022-04-10,2022-04-08,2022-04-28,Ras Tanura,Saudi Arabia,AG,Rotterdam,Netherlands,NWE,Arab Light,152221,Glencore Energy,N,Rotterdam,20,4
VYG1145,9545678,Nord Horizon,Suezmax,2022-05-05,2022-05-11,2022-05-15,2022-05-11,2022-05-25,Escravos,Nigeria,WAF,Antwerp,Belgium,NWE,Bonny Light,143624,Chevron Products,N,Singapore,14,10
VYG1146,9545678,Nord Horizon,Suezmax,2022-06-03,2022-06-10,2022-06-14,2022-06-10,2022-07-04,Escravos,Nigeria,WAF,Antwerp,Belgium,NWE,Forcados,142474,ExxonMobil Oil,N,Rotterdam,24,8
VYG1147,9545678,Nord Horizon,Suezmax,2022-07-11,2022-07-18,2022-07-22,2022-07-20,2022-08-02,Mongstad,Norway,NS,Antwerp,Belgium,NWE,Brent Blend,143528,Litasco,N,Ulsan,13,7
VYG1148,9545678,Nord Horizon,Suezmax,2022-08-10,2022-08-14,2022-08-18,2022-08-16,2022-09-05,Basrah,Iraq,AG,Fos-sur-Mer,France,MED,Arab Heavy,144564,Chevron Products,N,Antwerp,20,11
VYG1149,9545678,Nord Horizon,Suezmax,2022-09-12,2022-09-14,2022-09-18,2022-09-14,2022-10-05,Ras Tanura,Saudi Arabia,AG,Ulsan,South Korea,FEA,Arab Light,149163,Glencore Energy,N,Singapore,21,9
VYG1150,9545678,Nord Horizon,Suezmax,2022-10-12,2022-10-14,2022-10-18,2022-10-15,2022-11-03,Djeno,Congo,WAF,Rotterdam,Netherlands,NWE,Bonny Light,140269,Castleton Commodities,N,Ulsan,19,11
VYG1151,9545678,Nord Horizon,Suezmax,2022-11-07,2022-11-11,2022-11-15,2022-11-11,2022-11-22,Mongstad,Norway,NS,Ulsan,South Korea,FEA,Brent Blend,138437,Mercuria Energy,N,Singapore,11,6
VYG1152,9545678,Nord Horizon,Suezmax,2022-11-28,2022-12-05,2022-12-09,2022-12-06,2023-01-02,Bonny,Nigeria,WAF,Trieste,Italy,MED,Bonny Light,153219,BP Oil International,N,Ulsan,27,6
VYG1153,9545678,Nord Horizon,Suezmax,2023-01-11,2023-01-17,2023-01-21,2023-01-18,2023-02-07,Basrah,Iraq,AG,Ulsan,South Korea,FEA,Arab Light,152242,Glencore Energy,N,Antwerp,20,7
VYG1154,9545678,Nord Horizon,Suezmax,2023-02-12,2023-02-17,2023-02-21,2023-02-17,2023-03-16,Basrah,Iraq,AG,Rotterdam,Netherlands,NWE,Basrah Light,149814,Saudi Aramco Trading,N,Houston,27,11
VYG1155,9545678,Nord Horizon,Suezmax,2023-03-21,2023-03-26,2023-03-30,2023-03-27,2023-04-19,Ras Tanura,Saudi Arabia,AG,Fos-sur-Mer,France,MED,Arab Light,141949,Saudi Aramco Trading,N,Ulsan,23,6
VYG1156,9545678,Nord Horizon,Suezmax,2023-04-24,2023-04-27,2023-05-01,2023-04-27,2023-05-13,Bonny,Nigeria,WAF,Qingdao,China,FEA,Forcados,146975,Freepoint Commodities,N,Houston,16,10
VYG1157,9545678,Nord Horizon,Suezmax,2023-05-18,2023-05-24,2023-05-28,2023-05-25,2023-06-19,Bonny,Nigeria,WAF,Augusta,Italy,MED,Forcados,145637,ExxonMobil Oil,N,Houston,25,11
VYG1158,9545678,Nord Horizon,Suezmax,2023-06-28,2023-07-03,2023-07-07,2023-07-05,2023-07-20,Ras Tanura,Saudi Arabia,AG,Antwerp,Belgium,NWE,Iranian Heavy,150525,TotalEnergies Trading,N,Antwerp,15,10
VYG1159,9545678,Nord Horizon,Suezmax,2023-07-26,2023-07-29,2023-08-02,2023-07-29,2023-08-19,Ras Tanura,Saudi Arabia,AG,Fos-sur-Mer,France,MED,Iranian Heavy,148410,Equinor Trading,N,Houston,21,6
VYG1160,9545678,Nord Horizon,Suezmax,2023-08-28,2023-09-03,2023-09-07,2023-09-04,2023-10-02,Basrah,Iraq,AG,,,,Basrah Light,153228,Gunvor Group,Y,Singapore,28,7
VYG1161,9545678,Nord Horizon,Suezmax,2023-10-10,2023-10-12,2023-10-16,2023-10-12,2023-10-22,Basrah,Iraq,AG,Rotterdam,Netherlands,NWE,Basrah Light,139188,Castleton Commodities,N,Houston,10,11
VYG1162,9545678,Nord Horizon,Suezmax,2023-10-28,2023-10-31,2023-11-04,2023-11-01,2023-11-26,Escravos,Nigeria,WAF,Qingdao,China,FEA,Forcados,139912,Chevron Products,N,Antwerp,25,6
VYG1163,9545678,Nord Horizon,Suezmax,2023-12-03,2023-12-07,2023-12-11,2023-12-09,2023-12-20,Ras Tanura,Saudi Arabia,AG,Augusta,Italy,MED,Basrah Light,141410,Shell Trading,N,Houston,11,11
VYG1164,9545678,Nord Horizon,Suezmax,2023-12-25,2023-12-29,2024-01-02,2023-12-30,2024-01-13,Basrah,Iraq,AG,,,,Arab Heavy,139919,Equinor Trading,Y,Singapore,14,7
VYG1165,9545678,Nord Horizon,Suezmax,2024-01-19,2024-01-26,2024-01-30,2024-01-26,2024-02-05,Djeno,Congo,WAF,Qingdao,China,FEA,Forcados,145845,Gunvor Group,N,Ulsan,10,4
VYG1166,9545678,Nord Horizon,Suezmax,2024-02-10,2024-02-14,2024-02-18,2024-02-15,2024-03-07,Mongstad,Norway,NS,Ulsan,South Korea,FEA,Brent Blend,142247,Saudi Aramco Trading,N,Rotterdam,21,10
VYG1167,9545678,Nord Horizon,Suezmax,2024-03-12,2024-03-15,2024-03-19,2024-03-16,2024-03-30,Mongstad,Norway,NS,Antwerp,Belgium,NWE,Brent Blend,148887,Vitol Group,N,Houston,14,6
VYG1168,9545678,Nord Horizon,Suezmax,2024-04-04,2024-04-10,2024-04-14,2024-04-10,2024-04-24,Sullom Voe,UK,NS,,,,Brent Blend,145394,Litasco,Y,Houston,14,11
VYG1169,9545678,Nord Horizon,Suezmax,2024-05-03,2024-05-09,2024-05-13,2024-05-09,2024-05-22,Ras Tanura,Saudi Arabia,AG,,,,Iranian Heavy,140329,Equinor Trading,Y,Rotterdam,13,4
VYG1170,9545678,Nord Horizon,Suezmax,2024-05-31,2024-06-02,2024-06-06,2024-06-02,2024-06-30,Bonny,Nigeria,WAF,,,,Bonny Light,139896,Mercuria Energy,Y,Singapore,28,5
VYG1171,9545678,Nord Horizon,Suezmax,2024-07-08,2024-07-13,2024-07-17,2024-07-14,2024-07-28,Djeno,Congo,WAF,Ulsan,South Korea,FEA,Forcados,147426,Equinor Trading,N,Antwerp,14,9
VYG1172,9545678,Nord Horizon,Suezmax,2024-08-06,2024-08-10,2024-08-14,2024-08-10,2024-08-25,Mongstad,Norway,NS,Fos-sur-Mer,France,MED,Brent Blend,140715,Litasco,N,Antwerp,15,10
VYG1173,9545678,Nord Horizon,Suezmax,2024-09-03,2024-09-09,2024-09-13,2024-09-11,2024-10-08,Djeno,Congo,WAF,Fos-sur-Mer,France,MED,Forcados,152585,Trafigura,N,Ulsan,27,8
VYG1174,9545678,Nord Horizon,Suezmax,2024-10-14,2024-10-21,2024-10-25,2024-10-22,2024-11-19,Djeno,Congo,WAF,Antwerp,Belgium,NWE,Bonny Light,150926,Litasco,N,Singapore,28,11
VYG1175,9545678,Nord Horizon,Suezmax,2024-11-23,2024-11-26,2024-11-30,2024-11-27,2024-12-22,Djeno,Congo,WAF,Rotterdam,Netherlands,NWE,Bonny Light,141556,Vitol Group,N,Singapore,25,8
VYG1176,9545678,Nord Horizon,Suezmax,2024-12-28,2025-01-02,2025-01-06,2025-01-02,2025-01-28,Ras Tanura,Saudi Arabia,AG,,,,Basrah Light,143599,Litasco,Y,Antwerp,26,4
VYG1177,9556789,Nord Polaris,Suezmax,2022-01-01,2022-01-03,2022-01-07,2022-01-05,2022-01-18,Basrah,Iraq,AG,Trieste,Italy,MED,Basrah Light,152129,BP Oil International,N,Singapore,13,6
VYG1178,9556789,Nord Polaris,Suezmax,2022-01-26,2022-02-01,2022-02-05,2022-02-01,2022-02-13,Djeno,Congo,WAF,Antwerp,Belgium,NWE,Forcados,142816,TotalEnergies Trading,N,Ulsan,12,11
VYG1179,9556789,Nord Polaris,Suezmax,2022-02-21,2022-02-23,2022-02-27,2022-02-25,2022-03-20,Bonny,Nigeria,WAF,Ulsan,South Korea,FEA,Bonny Light,148916,Trafigura,N,Rotterdam,23,4
VYG1180,9556789,Nord Polaris,Suezmax,2022-03-29,2022-04-01,2022-04-05,2022-04-01,2022-04-29,Bonny,Nigeria,WAF,Trieste,Italy,MED,Forcados,150154,Litasco,N,Singapore,28,4
VYG1181,9556789,Nord Polaris,Suezmax,2022-05-05,2022-05-07,2022-05-11,2022-05-08,2022-06-04,Ras Tanura,Saudi Arabia,AG,Qingdao,China,FEA,Iranian Heavy,149379,BP Oil International,N,Rotterdam,27,5
VYG1182,9556789,Nord Polaris,Suezmax,2022-06-11,2022-06-14,2022-06-18,2022-06-14,2022-07-08,Mongstad,Norway,NS,Fos-sur-Mer,France,MED,Brent Blend,145516,Equinor Trading,N,Houston,24,4
VYG1183,9556789,Nord Polaris,Suezmax,2022-07-14,2022-07-19,2022-07-23,2022-07-21,2022-08-16,Djeno,Congo,WAF,,,,Bonny Light,150331,Trafigura,Y,Houston,26,5
VYG1184,9556789,Nord Polaris,Suezmax,2022-08-21,2022-08-28,2022-09-01,2022-08-30,2022-09-25,Bonny,Nigeria,WAF,Qingdao,China,FEA,Bonny Light,149656,Mercuria Energy,N,Houston,26,6
VYG1185,9556789,Nord Polaris,Suezmax,2022-10-02,2022-10-06,2022-10-10,2022-10-08,2022-10-31,Bonny,Nigeria,WAF,Trieste,Italy,MED,Bonny Light,149871,TotalEnergies Trading,N,Singapore,23,6
VYG1186,9556789,Nord Polaris,Suezmax,2022-11-08,2022-11-14,2022-11-18,2022-11-16,2022-11-28,Basrah,Iraq,AG,Trieste,Italy,MED,Basrah Light,140999,BP Oil International,N,Singapore,12,7
VYG1187,9556789,Nord Polaris,Suezmax,2022-12-02,2022-12-08,2022-12-12,2022-12-09,2022-12-29,Bonny,Nigeria,WAF,Trieste,Italy,MED,Forcados,142305,Chevron Products,N,Antwerp,20,10
VYG1188,9556789,Nord Polaris,Suezmax,2023-01-07,2023-01-12,2023-01-16,2023-01-13,2023-01-26,Basrah,Iraq,AG,Trieste,Italy,MED,Arab Heavy,156184,Glencore Energy,N,Antwerp,13,9
VYG1189,9556789,Nord Polaris,Suezmax,2023-01-31,2023-02-03,2023-02-07,2023-02-05,2023-02-18,Sullom Voe,UK,NS,Augusta,Italy,MED,Brent Blend,155401,Trafigura,N,Antwerp,13,5
VYG1190,9556789,Nord Polaris,Suezmax,2023-02-23,2023-02-27,2023-03-03,2023-02-28,2023-03-27,Sullom Voe,UK,NS,Fos-sur-Mer,France,MED,Brent Blend,146864,Chevron Products,N,Rotterdam,27,9
VYG1191,9556789,Nord Polaris,Suezmax,2023-04-02,2023-04-07,2023-04-11,2023-04-07,2023-05-01,Basrah,Iraq,AG,Antwerp,Belgium,NWE,Arab Heavy,153327,Trafigura,N,Rotterdam,24,11
VYG1192,9556789,Nord Polaris,Suezmax,2023-05-08,2023-05-12,2023-05-16,2023-05-12,2023-06-06,Escravos,Nigeria,WAF,Antwerp,Belgium,NWE,Bonny Light,153569,Saudi Aramco Trading,N,Rotterdam,25,11
VYG1193,9556789,Nord Polaris,Suezmax,2023-06-13,2023-06-15,2023-06-19,2023-06-15,2023-06-29,Escravos,Nigeria,WAF,Rotterdam,Netherlands,NWE,Forcados,141170,Equinor Trading,N,Antwerp,14,5
VYG1194,9556789,Nord Polaris,Suezmax,2023-07-08,2023-07-15,2023-07-19,2023-07-16,2023-08-11,Sullom Voe,UK,NS,Fos-sur-Mer,France,MED,Brent Blend,147114,Vitol Group,N,Ulsan,26,9
VYG1195,9556789,Nord Polaris,Suezmax,2023-08-18,2023-08-21,2023-08-25,2023-08-22,2023-09-13,Ras Tanura,Saudi Arabia,AG,Fos-sur-Mer,France,MED,Iranian Heavy,147346,BP Oil International,N,Singapore,22,4
VYG1196,9556789,Nord Polaris,Suezmax,2023-09-20,2023-09-25,2023-09-29,2023-09-27,2023-10-17,Djeno,Congo,WAF,Qingdao,China,FEA,Bonny Light,146835,Mercuria Energy,N,Rotterdam,20,7
VYG1197,9556789,Nord Polaris,Suezmax,2023-10-23,2023-10-27,2023-10-31,2023-10-29,2023-11-10,Mongstad,Norway,NS,Antwerp,Belgium,NWE,Brent Blend,151752,Castleton Commodities,N,Ulsan,12,4
VYG1198,9556789,Nord Polaris,Suezmax,2023-11-16,2023-11-18,2023-11-22,2023-11-20,2023-12-14,Basrah,Iraq,AG,Antwerp,Belgium,NWE,Arab Light,152856,Shell Trading,N,Singapore,24,5
VYG1199,9556789,Nord Polaris,Suezmax,2023-12-21,2023-12-28,2024-01-01,2023-12-29,2024-01-13,Basrah,Iraq,AG,Fos-sur-Mer,France,MED,Basrah Light,143772,Equinor Trading,N,Rotterdam,15,7
VYG1200,9556789,Nord Polaris,Suezmax,2024-01-20,2024-01-22,2024-01-26,2024-01-23,2024-02-11,Sullom Voe,UK,NS,,,,Brent Blend,148503,Litasco,Y,Houston,19,6
VYG1201,9556789,Nord Polaris,Suezmax,2024-02-15,2024-02-22,2024-02-26,2024-02-22,2024-03-16,Djeno,Congo,WAF,Trieste,Italy,MED,Forcados,142571,Equinor Trading,N,Rotterdam,23,5
VYG1202,9556789,Nord Polaris,Suezmax,2024-03-21,2024-03-23,2024-03-27,2024-03-23,2024-04-08,Mongstad,Norway,NS,Rotterdam,Netherlands,NWE,Brent Blend,155226,Litasco,N,Ulsan,16,10
VYG1203,9556789,Nord Polaris,Suezmax,2024-04-12,2024-04-19,2024-04-23,2024-04-20,2024-05-19,Mongstad,Norway,NS,Fos-sur-Mer,France,MED,Brent Blend,141949,BP Oil International,N,Singapore,29,7
VYG1204,9556789,Nord Polaris,Suezmax,2024-05-23,2024-05-30,2024-06-03,2024-05-30,2024-06-13,Ras Tanura,Saudi Arabia,AG,Qingdao,China,FEA,Arab Light,154332,Glencore Energy,N,Ulsan,14,8
VYG1205,9556789,Nord Polaris,Suezmax,2024-06-21,2024-06-26,2024-06-30,2024-06-27,2024-07-17,Mongstad,Norway,NS,Rotterdam,Netherlands,NWE,Brent Blend,144852,Equinor Trading,N,Antwerp,20,7
VYG1206,9556789,Nord Polaris,Suezmax,2024-07-21,2024-07-23,2024-07-27,2024-07-25,2024-08-11,Ras Tanura,Saudi Arabia,AG,Augusta,Italy,MED,Basrah Light,145536,TotalEnergies Trading,N,Antwerp,17,8
VYG1207,9556789,Nord Polaris,Suezmax,2024-08-20,2024-08-24,2024-08-28,2024-08-26,2024-09-13,Sullom Voe,UK,NS,Ulsan,South Korea,FEA,Brent Blend,153157,BP Oil International,N,Houston,18,4
VYG1208,9556789,Nord Polaris,Suezmax,2024-09-18,2024-09-23,2024-09-27,2024-09-25,2024-10-13,Djeno,Congo,WAF,Augusta,Italy,MED,Forcados,142406,Gunvor Group,N,Rotterdam,18,4
VYG1209,9556789,Nord Polaris,Suezmax,2024-10-19,2024-10-22,2024-10-26,2024-10-22,2024-11-17,Basrah,Iraq,AG,Antwerp,Belgium,NWE,Basrah Light,147417,Mercuria Energy,N,Houston,26,4
VYG1210,9556789,Nord Polaris,Suezmax,2024-11-23,2024-11-26,2024-11-30,2024-11-26,2024-12-23,Djeno,Congo,WAF,Ulsan,South Korea,FEA,Forcados,154793,Freepoint Commodities,N,Antwerp,27,9
VYG1211,9567890,Nord Crest,Aframax,2022-01-01,2022-01-05,2022-01-09,2022-01-06,2022-01-26,Sullom Voe,UK,NS,Augusta,Italy,MED,Brent Blend,102206,Gunvor Group,N,Ulsan,20,6
VYG1212,9567890,Nord Crest,Aframax,2022-01-30,2022-02-01,2022-02-05,2022-02-03,2022-02-14,Primorsk,Russia,BS,Rotterdam,Netherlands,NWE,Urals,105289,Freepoint Commodities,N,Antwerp,11,11
VYG1213,9567890,Nord Crest,Aframax,2022-02-19,2022-02-23,2022-02-27,2022-02-24,2022-03-16,Sullom Voe,UK,NS,Corpus Christi,USA,USGC,Brent Blend,104350,Mercuria Energy,N,Rotterdam,20,6
VYG1214,9567890,Nord Crest,Aframax,2022-03-20,2022-03-24,2022-03-28,2022-03-24,2022-04-06,Mongstad,Norway,NS,Trieste,Italy,MED,Brent Blend,110211,Chevron Products,N,Houston,13,11
VYG1215,9567890,Nord Crest,Aframax,2022-04-10,2022-04-12,2022-04-16,2022-04-13,2022-05-04,Novorossiysk,Russia,BS,Rotterdam,Netherlands,NWE,Urals,102300,Trafigura,N,Antwerp,21,10
VYG1216,9567890,Nord Crest,Aframax,2022-05-08,2022-05-12,2022-05-16,2022-05-12,2022-05-25,Mongstad,Norway,NS,Fos-sur-Mer,France,MED,Brent Blend,106311,Castleton Commodities,N,Houston,13,11
VYG1217,9567890,Nord Crest,Aframax,2022-05-29,2022-06-02,2022-06-06,2022-06-04,2022-06-22,Sullom Voe,UK,NS,Rotterdam,Netherlands,NWE,Brent Blend,101555,Litasco,N,Singapore,18,10
VYG1218,9567890,Nord Crest,Aframax,2022-07-01,2022-07-03,2022-07-07,2022-07-05,2022-07-31,Primorsk,Russia,BS,Trieste,Italy,MED,Urals,101167,Saudi Aramco Trading,N,Houston,26,9
VYG1219,9567890,Nord Crest,Aframax,2022-08-08,2022-08-15,2022-08-19,2022-08-17,2022-09-02,Sullom Voe,UK,NS,Antwerp,Belgium,NWE,Brent Blend,103309,Equinor Trading,N,Rotterdam,16,4
VYG1220,9567890,Nord Crest,Aframax,2022-09-10,2022-09-15,2022-09-19,2022-09-16,2022-09-27,Mongstad,Norway,NS,Augusta,Italy,MED,Brent Blend,101835,Saudi Aramco Trading,N,Ulsan,11,10
VYG1221,9567890,Nord Crest,Aframax,2022-10-02,2022-10-09,2022-10-13,2022-10-10,2022-10-28,Novorossiysk,Russia,BS,Augusta,Italy,MED,Urals,99466,Vitol Group,N,Houston,18,8
VYG1222,9567890,Nord Crest,Aframax,2022-11-06,2022-11-09,2022-11-13,2022-11-09,2022-12-06,Bonny,Nigeria,WAF,Antwerp,Belgium,NWE,Forcados,100898,Vitol Group,N,Antwerp,27,4
VYG1223,9567890,Nord Crest,Aframax,2022-12-12,2022-12-14,2022-12-18,2022-12-16,2023-01-07,Bonny,Nigeria,WAF,Corpus Christi,USA,USGC,Bonny Light,109856,Freepoint Commodities,N,Rotterdam,22,9
VYG1224,9567890,Nord Crest,Aframax,2023-01-12,2023-01-16,2023-01-20,2023-01-18,2023-02-11,Primorsk,Russia,BS,Augusta,Italy,MED,Urals,106216,Castleton Commodities,N,Antwerp,24,7
VYG1225,9567890,Nord Crest,Aframax,2023-02-15,2023-02-19,2023-02-23,2023-02-20,2023-03-21,Primorsk,Russia,BS,Rotterdam,Netherlands,NWE,Urals,101442,Litasco,N,Ulsan,29,4
VYG1226,9567890,Nord Crest,Aframax,2023-03-29,2023-04-05,2023-04-09,2023-04-07,2023-04-28,Bonny,Nigeria,WAF,Trieste,Italy,MED,Forcados,109525,Freepoint Commodities,N,Singapore,21,4
VYG1227,9567890,Nord Crest,Aframax,2023-05-06,2023-05-12,2023-05-16,2023-05-12,2023-06-10,Novorossiysk,Russia,BS,Trieste,Italy,MED,Urals,106897,Gunvor Group,N,Ulsan,29,5
VYG1228,9567890,Nord Crest,Aframax,2023-06-15,2023-06-19,2023-06-23,2023-06-21,2023-07-15,Bonny,Nigeria,WAF,Trieste,Italy,MED,Forcados,103995,Equinor Trading,N,Ulsan,24,6
VYG1229,9567890,Nord Crest,Aframax,2023-07-24,2023-07-29,2023-08-02,2023-07-29,2023-08-22,Mongstad,Norway,NS,Corpus Christi,USA,USGC,Brent Blend,109690,Chevron Products,N,Houston,24,6
VYG1230,9567890,Nord Crest,Aframax,2023-08-28,2023-08-31,2023-09-04,2023-09-01,2023-09-19,Mongstad,Norway,NS,Augusta,Italy,MED,Brent Blend,104412,Gunvor Group,N,Houston,18,6
VYG1231,9567890,Nord Crest,Aframax,2023-09-24,2023-09-26,2023-09-30,2023-09-28,2023-10-09,Novorossiysk,Russia,BS,Augusta,Italy,MED,Urals,106847,Equinor Trading,N,Rotterdam,11,9
VYG1232,9567890,Nord Crest,Aframax,2023-10-16,2023-10-19,2023-10-23,2023-10-19,2023-11-15,Mongstad,Norway,NS,Trieste,Italy,MED,Brent Blend,108233,Freepoint Commodities,N,Rotterdam,27,6
VYG1233,9567890,Nord Crest,Aframax,2023-11-24,2023-12-01,2023-12-05,2023-12-03,2023-12-17,Novorossiysk,Russia,BS,Rotterdam,Netherlands,NWE,Urals,100901,Shell Trading,N,Singapore,14,10
VYG1234,9567890,Nord Crest,Aframax,2023-12-22,2023-12-28,2024-01-01,2023-12-28,2024-01-12,Novorossiysk,Russia,BS,Corpus Christi,USA,USGC,Urals,109726,BP Oil International,N,Houston,15,6
VYG1235,9567890,Nord Crest,Aframax,2024-01-20,2024-01-23,2024-01-27,2024-01-25,2024-02-14,Primorsk,Russia,BS,Fos-sur-Mer,France,MED,Urals,110208,ExxonMobil Oil,N,Rotterdam,20,8
VYG1236,9567890,Nord Crest,Aframax,2024-02-21,2024-02-27,2024-03-02,2024-02-27,2024-03-14,Primorsk,Russia,BS,Corpus Christi,USA,USGC,Urals,110470,Gunvor Group,N,Houston,16,9
